"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Impresiones,"Coste por resultados","Importe gastado (PEN)",Fin
2025-11-24,2026-01-20,"Campaña ""CP - Somista""",completed,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",20,actions:offsite_conversion.fb_pixel_lead,8359,14217,8.464,169.28,2025-12-23
2025-11-24,2026-01-20,"Campaña de seguidores - 22/12",completed,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1951,actions:like,128906,226236,0.31569452,615.92,2025-12-29
2025-11-24,2026-01-20,"Campaña ""CP - Somista"" - 31 DIC",inactive,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",19,actions:offsite_conversion.fb_pixel_lead,7351,9442,4.30526316,81.8,2026-01-02
2025-11-24,2026-01-20,"Campaña ""CP - básquet"" -  31 DIC",completed,423.73,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",347,actions:offsite_conversion.fb_pixel_lead,61368,119013,1.22043228,423.49,2026-01-09
2025-11-24,2026-01-20,"Campaña ""CP - Animalista"" -  31 DIC",completed,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",136,actions:offsite_conversion.fb_pixel_lead,31689,44927,1.24595588,169.45,2026-01-02
2025-11-24,2026-01-20,"EVENTO ""Volvamos a la FIBA""",completed,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",112,actions:rsvp,17033,25193,0.49946429,55.94,2025-12-29
2025-11-24,2026-01-20,"Campaña ""DM Whatsapp - Somistas""",inactive,306,"Toda la campaña","7 días después del clic o 1 día después de la visualización",19,actions:onsite_conversion.messaging_conversation_started_7d,4138,5831,3.67421053,69.81,2026-01-03
2025-11-24,2026-01-20,"Tráfico ""Invitación España""",recently_completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1598,actions:omni_landing_page_view,20144,37389,0.04630788,74,2026-01-16
2025-11-24,2026-01-20,"Campaña ""DM Whatsapp - Somistas"" - 30 ENERO",completed,423.73,"Toda la campaña","7 días después del clic o 1 día después de la visualización",202,actions:onsite_conversion.messaging_conversation_started_7d,31582,63374,2.08831683,421.84,2026-01-07
2025-11-24,2026-01-20,"Campaña ""CP - Somista"" - 30 ENERO",completed,423.73,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",48,actions:offsite_conversion.fb_pixel_lead,38342,60635,8.79416667,422.12,2026-01-07
2025-11-24,2026-01-20,"Campaña ""Video plan de gobierno""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",46505,actions:post_engagement,47488,66887,0.00166369,77.37,2026-01-04
2025-11-24,2026-01-20,"Campaña de seguidores - 1era semana enero",completed,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",3074,actions:like,284361,575392,0.2756864,847.46,2026-01-07
2025-11-24,2026-01-20,"Tráfico ""Pronunciamiento Pataz""",completed,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1022,actions:omni_landing_page_view,81941,102692,0.16585127,169.5,2026-01-06
2025-11-24,2026-01-20,"Tráfico ""Conferencia 6 enero""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1279,actions:omni_landing_page_view,35359,45462,0.06626271,84.75,2026-01-06
2025-11-24,2026-01-20,"Evento ""En vivo Somista""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",157,actions:rsvp,31187,46120,0.53980892,84.75,2026-01-03
2025-11-24,2026-01-20,"Campaña ""Post somista en vivo""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1168,actions:post_engagement,17940,22148,0.07255993,84.75,2026-01-03
2025-11-24,2026-01-20,"Campaña ""interacción Forzay""",completed,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",91256,actions:post_engagement,93832,134704,0.00160537,146.5,2026-01-12
2025-11-24,2026-01-20,"Campaña ""Camiseta Nacional""",recently_completed,254.24,"Toda la campaña","7 días después del clic o 1 día después de la visualización",23482,video_thruplay_watched_actions,84825,105626,0.00674772,158.45,2026-01-15
2025-11-24,2026-01-20,"Campaña ""DM Whatsapp - Somistas"" - 8 ENERO",archived,423.73,"Toda la campaña","7 días después del clic o 1 día después de la visualización",2,actions:post_engagement,126,128,0.23,0.46,2026-01-15
2025-11-24,2026-01-20,"Campaña de seguidores - 2da semana enero",recently_completed,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",2244,actions:like,189872,266399,0.35464795,795.83,2026-01-15
2025-11-24,2026-01-20,"Campaña ""Evento FIBA 2""",completed,42.37,"Toda la campaña","7 días después del clic o 1 día después de la visualización",68,actions:rsvp,15867,19619,0.6225,42.33,2026-01-09
2025-11-24,2026-01-20,"Campaña ""Post evento FIBA 2""",completed,42.37,"Toda la campaña","7 días después del clic o 1 día después de la visualización",513,actions:post_engagement,7227,8058,0.08239766,42.27,2026-01-09
2025-11-24,2026-01-20,"Campaña ""Básquet Chiclayo""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",743,actions:post_engagement,16265,22845,0.11403769,84.73,2026-01-11
2025-11-24,2026-01-20,"Campaña ""Presentación en Loreto""",active,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",9646,actions:post_engagement,13315,14704,0.00217914,21.02,2026-01-25
